"Reference","Qty","Value","MFG #"
"U1","1","SX1280IMLTRT","SX1280IMLTRT"
"J3","1","USB4056-03-A_REVA2","USB4056-03-A"
"Y1","1","C1E-52.000-10-1012-X-M","C1E-52.000-10-1012-X-M"
"Y2","1","ABM8-272-T3","ABM8-272-T3"
"U5","1","TPS60403DBV","TPS60403DBV"
"U4","1","RP2040","SC0914(13)"
"U3","1","NCP1117-3.3_SOT223","NCP1117ST33T3G"
"U2","1","W25Q128JVSIQ","W25Q128JVSIQ"
"R16","1","100K","AC0402FR-7W100KL"
"R15","1","0","CRCW04020000Z0ED"
"R14","1","330k","CRGCQ0402F330K"
"R13,R19","2","4.7k","AC0402FR-7W4K7L"
"R7,R8","2","27","RC0402FR-7W27RL"
"R6","1","10k","AC0402FR-7W10KL"
"R5","1","1k","AC0402FR-7W1KL"
"R4","1","470","AC0402FR-7W470RL"
"R1,R3","2","5.1k","AC0402FR-7W5K1L"
"L4","1","15u","MLZ2012M150W"
"L2","1","2.5n","LQW15AN2N5C00D"
"L1","1","3n","LQW15AN3N0B80D"
"J15","1","PS3-4","SM10B-GHS-TB"
"J14","1","PS1-2","SM10B-GHS-TB"
"J12","1","PWR","SM06B-GHS-TB"
"J4","1","BATT","OSTTE020104"
"J2","1","RF_OUT","SMA-J-P-GF-RA-SM1"
"D3","1","LED","QBLP601-IB5-S2897"
"D1,D2","2","D","CD0603-B0340R"
"C37,C38,C39","3","1u","C0603X5R500-105KNP-CT"
"C20,C22","2","1u","C0603X5R500-105KNP-CT"
"C14,C15","2","15p","GJM1555C1H150GB01D"
"C13,C16,C17","3","10u","CL10X106MO8NRNC"
"C9","1","470n","GRM155R61A474KE15D"
"C8,C10","2","100n","GRM155R71C104KA88D"
"C7,C18,C19,C21,C23,C24,C25,C30,C31,C36","10","100n","CL05B104KO5NNNC"
"C5,C6","2","10n","GRM155R71E103KA01D"
"C4","1",".5p","GRM1555C1HR50WA01D"
"C3","1","100p","GRM1555C1H101JA01D"
"C1,C2","2","1.2p","GRM1555C1H1R2BA01D"
"C0","1",".8P","GRM1555C1HR80BA01D"
